"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births	Average Birth Weight	Average Age of Mother
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"January"	"1"	164	3272.56	27.29
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"February"	"2"	167	3329.14	27.42
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"March"	"3"	184	3312.30	28.96
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"April"	"4"	183	3216.21	27.21
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"May"	"5"	205	3253.51	27.96
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"June"	"6"	192	3265.17	28.93
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"July"	"7"	203	3285.80	27.71
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"August"	"8"	202	3220.15	28.20
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"September"	"9"	209	3244.35	28.86
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"October"	"10"	206	3196.11	27.37
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"November"	"11"	182	3247.53	27.86
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	"December"	"12"	193	3279.95	28.17
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"January"	"1"	124	3228.15	26.11
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"February"	"2"	89	3179.43	26.81
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"March"	"3"	105	3146.48	26.34
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"April"	"4"	73	3274.55	26.29
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"May"	"5"	99	3045.92	25.86
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"June"	"6"	105	3118.76	27.05
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"July"	"7"	112	3231.75	26.71
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"August"	"8"	120	3195.56	26.61
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"September"	"9"	109	3156.22	26.45
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"October"	"10"	112	3212.05	28.02
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"November"	"11"	109	3136.54	27.39
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2018"	"2018"	"December"	"12"	108	3101.11	26.25
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"January"	"1"	93	3264.30	26.66
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"February"	"2"	71	3158.11	26.89
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"March"	"3"	109	3213.18	26.17
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"April"	"4"	81	3202.96	26.58
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"May"	"5"	114	3162.76	25.80
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"June"	"6"	109	3191.41	25.94
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"July"	"7"	103	3114.44	26.26
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"August"	"8"	98	3196.18	26.44
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"September"	"9"	110	3127.45	26.90
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"October"	"10"	115	3277.63	26.49
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"November"	"11"	93	3233.10	27.18
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2018"	"2018"	"December"	"12"	95	3137.63	27.13
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"January"	"1"	122	3117.61	26.69
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"February"	"2"	98	3193.43	26.41
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"March"	"3"	122	3235.69	26.93
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"April"	"4"	120	3237.39	28.82
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"May"	"5"	104	3387.14	26.79
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"June"	"6"	105	3153.02	27.29
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"July"	"7"	108	3184.83	27.21
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"August"	"8"	114	3190.78	27.96
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"September"	"9"	103	3139.56	27.00
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"October"	"10"	124	3230.32	26.27
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"November"	"11"	118	3217.47	26.94
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2018"	"2018"	"December"	"12"	130	3198.25	26.18
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"January"	"1"	712	3124.74	28.28
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"February"	"2"	629	3165.83	28.17
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"March"	"3"	691	3201.63	28.52
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"April"	"4"	645	3185.57	28.31
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"May"	"5"	686	3182.39	28.48
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"June"	"6"	691	3192.96	28.45
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"July"	"7"	681	3154.25	28.53
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"August"	"8"	744	3131.90	28.37
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"September"	"9"	726	3157.47	28.58
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"October"	"10"	751	3167.20	28.84
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"November"	"11"	732	3134.71	28.48
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2018"	"2018"	"December"	"12"	749	3144.95	28.19
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"January"	"1"	149	3207.00	28.33
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"February"	"2"	152	3262.35	27.85
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"March"	"3"	167	3195.38	28.70
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"April"	"4"	127	3237.17	29.04
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"May"	"5"	153	3224.68	28.54
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"June"	"6"	148	3214.75	26.86
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"July"	"7"	157	3211.05	27.59
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"August"	"8"	155	3247.94	28.92
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"September"	"9"	158	3207.95	27.66
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"October"	"10"	155	3162.04	28.45
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"November"	"11"	131	3242.32	28.60
	"Alabama"	"01"	"Lee County, AL"	"01081"	"2018"	"2018"	"December"	"12"	158	3218.57	27.80
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"January"	"1"	362	3157.62	28.77
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"February"	"2"	325	3226.59	28.63
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"March"	"3"	366	3133.97	28.77
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"April"	"4"	328	3192.38	28.87
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"May"	"5"	386	3157.94	27.99
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"June"	"6"	379	3221.32	29.02
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"July"	"7"	335	3172.30	28.16
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"August"	"8"	385	3238.06	28.93
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"September"	"9"	368	3200.80	28.62
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"October"	"10"	355	3118.67	29.01
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"November"	"11"	350	3132.66	28.33
	"Alabama"	"01"	"Madison County, AL"	"01089"	"2018"	"2018"	"December"	"12"	323	3209.82	28.70
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2018"	"2018"	"January"	"1"	512	3139.84	27.73
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2018"	"2018"	"February"	"2"	401	3118.10	26.92
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2018"	"2018"	"March"	"3"	468	3152.89	27.56
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2018"	"2018"	"April"	"4"	420	3080.26	27.45
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2018"	"2018"	"May"	"5"	479	3105.06	27.35
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2018"	"2018"	"June"	"6"	439	3180.41	26.97
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2018"	"2018"	"July"	"7"	472	3121.31	26.88
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2018"	"2018"	"August"	"8"	529	3136.06	27.16
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"2018"	"2018"	"September"	"9"	438	3140.92	27.23
